frame_id,timestamp
0,1769792567.2707465
1,1769792567.2795563
2,1769792567.287149
3,1769792567.2941847
4,1769792567.3009145
5,1769792567.3065884
6,1769792567.3134992
7,1769792567.3204806
8,1769792567.327167
9,1769792567.3347104
10,1769792567.3405879
11,1769792567.3463464
12,1769792567.3526695
13,1769792567.358888
14,1769792567.364576
15,1769792567.3702219
16,1769792567.3762143
17,1769792567.382043
18,1769792567.38767
19,1769792567.3930216
20,1769792567.3995059
21,1769792567.4058962
22,1769792567.411004
23,1769792567.4168665
24,1769792567.422942
25,1769792567.428503
26,1769792567.4346325
27,1769792567.4406896
28,1769792567.4460518
29,1769792567.4525852
30,1769792567.459192
31,1769792567.4654453
32,1769792567.4714293
33,1769792567.5688283
34,1769792567.6927164
35,1769792567.820645
36,1769792567.9446006
37,1769792568.068824
38,1769792568.1927571
39,1769792568.3208048
40,1769792568.4448626
41,1769792568.5689685
42,1769792568.6927235
43,1769792568.8207664
44,1769792568.9448075
45,1769792569.0690074
46,1769792569.1928
47,1769792569.3208718
48,1769792569.445229
49,1769792569.5689142
50,1769792569.6927404
51,1769792569.820849
52,1769792569.944732
53,1769792570.0688565
54,1769792570.1928465
55,1769792570.3210602
56,1769792570.4449558
57,1769792570.5683477
58,1769792570.6928303
59,1769792570.82093
60,1769792570.9448776
61,1769792571.068919
62,1769792571.1928546
63,1769792571.3207963
64,1769792571.4448078
65,1769792571.56901
